{{0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, -0.0000000000 + 0.0000000000*I, -0.0000000000 + 0.0000000000*I, -0.0000000000 + 0.0000000000*I, -0.0000000000 + 0.0000000000*I, -0.0000000000 + 0.0000000000*I, 0.0000000000 + -0.0000000000*I, 0.0000000000 + -0.0000000000*I, 0.0000000000 + -0.0000000000*I, 0.0000000000 + -0.0000000000*I, 0.0000000000 + -0.0000000000*I, 0.0000000000 + -0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I},
{0.1877846750 + 0.1869554276*I, 0.1968825048 + 0.1773490778*I, 0.2061445597 + 0.1664927523*I, 0.2149867094 + 0.1549068457*I, 0.2229111508 + 0.1432690997*I, 0.2295421728 + 0.1323850708*I, 0.2346318262 + 0.1231394421*I, 0.2380293181 + 0.1164365054*I, 0.2396148958 + 0.1131376054*I, 0.2392064027 + 0.1139987411*I, 0.2364533500 + 0.1196044704*I, 0.2307390478 + 0.1302877887*I, 0.2211166438 + 0.1460234429*I, 0.2063099942 + 0.1662877096*I, 0.1848132586 + 0.1898933267*I, 0.1551189797 + 0.2148336989*I, 0.1160857999 + 0.2382005523*I, 0.0674177308 + 0.2562621034*I, 0.0101685134 + 0.2647867395*I, -0.0528771563 + 0.2596525032*I, -0.1171276108 + 0.2376900058*I, -0.1765647743 + 0.1975861750*I, -0.2246177686 + 0.1405783558*I, -0.2553884112 + 0.0706553289*I, -0.2649160664 + -0.0059071024*I, -0.2520940250 + -0.0816334407*I, -0.2189291234 + -0.1492831371*I, -0.1700533610 + -0.2032172987*I, -0.1116566941 + -0.2403085490*I, -0.0501938517 + -0.2601845371*I, 0.0087514426 + -0.2648373620*I, 0.0611771772 + -0.2578231352*I, 0.1048679699 + -0.2433477449*I, 0.1391807192 + -0.2254864596*I, 0.1645874319 + -0.2076689513*I, 0.1821574389 + -0.1924424161*I, 0.1931123025 + -0.1814471127*I, 0.1985217160 + -0.1755122342*I, 0.1991547907 + -0.1747935508*I, 0.1954678746 + -0.1789070319*I, 0.1876941001 + -0.1870463602*I, 0.1759934417 + -0.1980952411*I, 0.1606197311 + -0.2107527415*I, 0.1420622321 + -0.2236822261*I, 0.1211268088 + -0.2356771356*I, 0.0989376909 + -0.2458185294*I, 0.0768635084 + -0.2535890714*I, 0.0563938337 + -0.2589114744*I, 0.0390060039 + -0.2620953028*I, 0.0260602491 + -0.2636973255*I},
{0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, -0.0000000000 + 0.0000000000*I, -0.0000000000 + 0.0000000000*I, -0.0000000000 + 0.0000000000*I, -0.0000000000 + 0.0000000000*I, -0.0000000000 + 0.0000000000*I, 0.0000000000 + -0.0000000000*I, 0.0000000000 + -0.0000000000*I, 0.0000000000 + -0.0000000000*I, 0.0000000000 + -0.0000000000*I, 0.0000000000 + -0.0000000000*I, 0.0000000000 + -0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I},
{0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, -0.0000000000 + 0.0000000000*I, -0.0000000000 + 0.0000000000*I, -0.0000000000 + 0.0000000000*I, -0.0000000000 + 0.0000000000*I, -0.0000000000 + 0.0000000000*I, -0.0000000000 + 0.0000000000*I, 0.0000000000 + -0.0000000000*I, 0.0000000000 + -0.0000000000*I, 0.0000000000 + -0.0000000000*I, 0.0000000000 + -0.0000000000*I, 0.0000000000 + -0.0000000000*I, 0.0000000000 + -0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I},
{0.1877846750 + 0.1869554276*I, 0.1912610642 + 0.1833974410*I, 0.1956439440 + 0.1787144741*I, 0.2006272312 + 0.1731015025*I, 0.2058643665 + 0.1668390801*I, 0.2109966225 + 0.1602992245*I, 0.2156783341 + 0.1539424317*I, 0.2195935529 + 0.1483040376*I, 0.2224591026 + 0.1439700099*I, 0.2240107666 + 0.1415436064*I, 0.2239722431 + 0.1416045564*I, 0.2220101729 + 0.1446613259*I, 0.2176825840 + 0.1510950320*I, 0.2103921567 + 0.1610917641*I, 0.1993595783 + 0.1745599456*I, 0.1836354147 + 0.1910325903*I, 0.1621701908 + 0.2095620321*I, 0.1339594746 + 0.2286269346*I, 0.0982706420 + 0.2460859545*I, 0.0549380700 + 0.2592242746*I, 0.0046840040 + 0.2649405144*I, -0.0506109079 + 0.2601037333*I, -0.1077877587 + 0.2420686166*I, -0.1625388691 + 0.2092762101*I, -0.2098435833 + 0.1618057064*I, -0.2446852190 + 0.1017082085*I, -0.2629223543 + 0.0329734994*I, -0.2621059008 + -0.0389347256*I, -0.2420135497 + -0.1079113424*I, -0.2047363173 + -0.1682214506*I, -0.1542819451 + -0.2154355994*I, -0.0958069582 + -0.2470555460*I, -0.0346935147 + -0.2627009252*I, 0.0242900422 + -0.2638662728*I, 0.0775646251 + -0.2533755020*I, 0.1229768655 + -0.2347170778*I, 0.1597265449 + -0.2114304777*I, 0.1880836608 + -0.1866546345*I, 0.2090143440 + -0.1628754741*I, 0.2238166623 + -0.1418503358*I, 0.2338300513 + -0.1246552173*I, 0.2402440386 + -0.1117954292*I, 0.2440037831 + -0.1033323274*I, 0.2457943544 + -0.0989977344*I, 0.2460800541 + -0.0982854162*I, 0.2451752551 + -0.1005211937*I, 0.2433258471 + -0.1049187695*I, 0.2407838100 + -0.1106280838*I, 0.2378614100 + -0.1167791321*I, 0.2349562319 + -0.1225193257*I},
{0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, -0.0000000000 + 0.0000000000*I, -0.0000000000 + 0.0000000000*I, -0.0000000000 + 0.0000000000*I, -0.0000000000 + 0.0000000000*I, -0.0000000000 + 0.0000000000*I, -0.0000000000 + 0.0000000000*I, 0.0000000000 + -0.0000000000*I, 0.0000000000 + -0.0000000000*I, 0.0000000000 + -0.0000000000*I, 0.0000000000 + -0.0000000000*I, 0.0000000000 + -0.0000000000*I, 0.0000000000 + -0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I},
{0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, -0.0000000000 + 0.0000000000*I, -0.0000000000 + 0.0000000000*I, -0.0000000000 + 0.0000000000*I, -0.0000000000 + 0.0000000000*I, -0.0000000000 + 0.0000000000*I, -0.0000000000 + 0.0000000000*I, -0.0000000000 + 0.0000000000*I, 0.0000000000 + -0.0000000000*I, 0.0000000000 + -0.0000000000*I, 0.0000000000 + -0.0000000000*I, 0.0000000000 + -0.0000000000*I, 0.0000000000 + -0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I},
{0.1877846750 + 0.1869554276*I, 0.1854538980 + 0.1892677146*I, 0.1844199015 + 0.1902753689*I, 0.1847326911 + 0.1899717056*I, 0.1863367963 + 0.1883985521*I, 0.1890760555 + 0.1856492966*I, 0.1927069210 + 0.1818775926*I, 0.1969188206 + 0.1773087538*I, 0.2013589856 + 0.1722497460*I, 0.2056578881 + 0.1670935341*I, 0.2094503682 + 0.1623143842*I, 0.2123871544 + 0.1584522411*I, 0.2141322235 + 0.1560858960*I, 0.2143434916 + 0.1557956472*I, 0.2126375795 + 0.1581160203*I, 0.2085435526 + 0.1634778356*I, 0.2014552393 + 0.1721371622*I, 0.1905966777 + 0.1840878120*I, 0.1750199589 + 0.1989558495*I, 0.1536581859 + 0.2158809348*I, 0.1254562478 + 0.2334012553*I, 0.0895951058 + 0.2493754861*I, 0.0458071909 + 0.2609925618*I, -0.0052510597 + 0.2649298821*I, -0.0616456171 + 0.2577115325*I, -0.1199472065 + 0.2362796727*I, -0.1752852392 + 0.1987221704*I, -0.2217813402 + 0.1450119071*I, -0.2533826485 + 0.0775412762*I, -0.2649790946 + 0.0012229081*I, -0.2535497519 + -0.0769931125*I, -0.2190068257 + -0.1491691201*I, -0.1644461271 + -0.2077808638*I, -0.0956765118 + -0.2471060929*I, -0.0201315342 + -0.2642160809*I, 0.0545321644 + -0.2593099672*I, 0.1217602103 + -0.2353505200*I, 0.1770211923 + -0.1971773657*I, 0.2181617039 + -0.1504024170*I, 0.2452265769 + -0.1003959266*I, 0.2599143803 + -0.0515745189*I, 0.2648877185 + -0.0070648904*I, 0.2631266043 + 0.0313018555*I, 0.2574383265 + 0.0627767802*I, 0.2501588269 + 0.0873840797*I, 0.2430244754 + 0.1056149630*I, 0.2371667559 + 0.1181835265*I, 0.2331801335 + 0.1258667605*I, 0.2312244007 + 0.1294244667*I, 0.2311371590 + 0.1295802060*I},
{0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, -0.0000000000 + 0.0000000000*I, -0.0000000000 + 0.0000000000*I, -0.0000000000 + 0.0000000000*I, -0.0000000000 + 0.0000000000*I, -0.0000000000 + 0.0000000000*I, -0.0000000000 + 0.0000000000*I, -0.0000000000 + 0.0000000000*I, 0.0000000000 + -0.0000000000*I, 0.0000000000 + -0.0000000000*I, 0.0000000000 + -0.0000000000*I, 0.0000000000 + -0.0000000000*I, 0.0000000000 + -0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I},
{0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, -0.0000000000 + 0.0000000000*I, -0.0000000000 + 0.0000000000*I, -0.0000000000 + 0.0000000000*I, -0.0000000000 + 0.0000000000*I, -0.0000000000 + 0.0000000000*I, 0.0000000000 + -0.0000000000*I, 0.0000000000 + -0.0000000000*I, 0.0000000000 + -0.0000000000*I, 0.0000000000 + -0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I, 0.0000000000 + 0.0000000000*I},
{0.1877846750 + 0.1869554276*I, 0.1794666452 + 0.1949541981*I, 0.1725139352 + 0.2011326881*I, 0.1674247033 + 0.2053883755*I, 0.1645637586 + 0.2076877113*I, 0.1641311043 + 0.2080297976*I, 0.1661455266 + 0.2064245142*I, 0.1704428272 + 0.2028907556*I, 0.1766886617 + 0.1974753982*I, 0.1844064355 + 0.1902884196*I, 0.1930200445 + 0.1815452519*I, 0.2019087489 + 0.1716049917*I, 0.2104674592 + 0.1609933684*I, 0.2181615417 + 0.1504026523*I, 0.2245627879 + 0.1406661664*I, 0.2293539674 + 0.1327108651*I, 0.2322938334 + 0.1274950628*I, 0.2331417641 + 0.1259378177*I, 0.2315499243 + 0.1288411760*I, 0.2269398734 + 0.1367980626*I, 0.2183900022 + 0.1500707267*I, 0.2045709330 + 0.1684225324*I, 0.1837779302 + 0.1908954909*I, 0.1541185236 + 0.2155525382*I, 0.1139097635 + 0.2392487865*I, 0.0623067877 + 0.2575524806*I, 0.0001072773 + 0.2649818948*I, -0.0694456779 + 0.2557199912*I, -0.1401742887 + 0.2248701511*I, -0.2031749075 + 0.1701040065*I, -0.2480240445 + 0.0932710534*I, -0.2649786357 + 0.0013185951*I, -0.2477050055 + -0.0941150696*I, -0.1956495967 + -0.1787082857*I, -0.1150574750 + -0.2386989600*I, -0.0180205688 + -0.2643684459*I, 0.0803020826 + -0.2525212696*I, 0.1653710363 + -0.2070454936*I, 0.2265657016 + -0.1374168801*I, 0.2590338578 + -0.0558289940*I, 0.2637102784 + 0.0259288479*I, 0.2458616951 + 0.0988303746*I, 0.2129519776 + 0.1576923311*I, 0.1726316728 + 0.2010316433*I, 0.1313596349 + 0.2301305334*I, 0.0937870764 + 0.2478293775*I, 0.0627556479 + 0.2574434787*I, 0.0396457436 + 0.2619992960*I, 0.0248287985 + 0.2638161232*I, 0.0180605864 + 0.2643657150*I},
